Original Company,Probable Legal Name,Legal Address
Engineering Ingegneria Informatica Spa,Engineering Ingegneria Informatica S.p.A.,"Piazzale dell'Agricoltura, 24 - 00144 Roma"
BPER Banca,BPER Banca S.p.A.,"Via San Carlo, 8/20 - 41121 Modena"
Banca Monte dei Paschi di Siena,Banca Monte dei Paschi di Siena S.p.A.,"Piazza Salimbeni, 3 - 53100 Siena"
Agricola Poggio ai Laghi srl ,ND,ND
Di Paola Roberto - Consulente del Lavoro & Manager Human Resource,ND,ND
Red Hat,Red Hat Italy S.r.l.,"Viale Fulvio Testi, 280 - 20126 Milano"
CD Tech Innovations Private Limited,ND,ND
Nexen Business Consulting,Nexen Business Consulting S.p.A.,"Via Stamira d’Ancona, 27 - 20127 Milano"
ANASTASIA KIN DOMAIN,ND,ND
ENTE NAZIONALE per l'INTELLIGENZA ARTIFICIALE - E.N.I.A.®,ND,ND
Tata Consultancy Services,ND,ND
TIM Enterprise,Telecom Italia S.p.A.,"Via Gaetano Negri, 1 - 20123 Milano"
Luca Sanna,ND,ND
Enecom Srl,Enecom S.r.l.,"Via Galileo Ferraris, 13 - 10098 Rivoli (TO)"
Software Club,ND,ND
Avantage Reply,Avantage Reply S.p.A.,"Via Castellanza, 11 - 20151 Milano"
WB Soluzioni,ND,ND
HSPI Consulenti di Direzione,HSPI S.p.A.,"Via di Tor Vergata, 257 - 00133 Roma"
AVL in Italy,ND,ND
SKS365 Group,ND,ND
Safeguard Global Italy,ND,ND
Start Hub,ND,ND
Accademia di Comunicazione Strategica,Accademia di Comunicazione S.r.l.,"Via Savona, 112 - 20144 Milano"
"Finmeccanica - Electronics, Defence & Security Systems",ND,ND
Micra Software & Services S.r.l.,Micra Software & Services S.r.l.,"Via San Pio X, 9 - 00193 Roma"
GRASS Group,ND,ND
Federmanager Toscana,ND,ND
Fideuram Intesa Sanpaolo Private Banking,Fideuram Intesa Sanpaolo Private Banking S.p.A.,"Piazzetta Giordano Dell’Amore, 3 - 20121 Milano"
Terna SpA,Terna S.p.A.,"Viale Egidio Galbani, 70 - 00156 Roma"
De Nigris Group,Acetificio Marcello De Nigris S.r.l.,"Via Giotto, 10 - 80040 San Sebastiano al Vesuvio (NA)"
OPEN INNOVATION ITALIA ,ND,ND
Mediobanca Premier,Mediobanca S.p.A.,"Piazzetta Enrico Cuccia, 1 - 20121 Milano"
Senior Advisor,ND,ND
Polispecialistico San Giuseppe,Polispecialistico San Giuseppe S.r.l.,ND
PDFOR Consulenza Direzionale,ND,ND
Boies Schiller Flexner Italy,ND,ND
azienda privata  ict ,ND,ND
Garage | Branding & Marketing Studio ,ND,ND
Scuola Superiore Sant'Anna,ND,ND
TXT e-solutions,TXT e-solutions S.p.A.,"Via Frigia, 27 - 20126 Milano"
University of Vaasa,ND,ND
TSKB | Türkiye Snai Kalknma Bankas,ND,ND
Federmanager Academy,ND,ND
Microcredito di Solidarietà S.p.A.,ND,ND
Profesia Srl,ND,ND
Stealth AI Startup,ND,ND
Federmanager Siena,ND,ND
EGG finance,ND,ND
LGSF Engineering GmbH,ND,ND
Fondazione R&I - ricerca e imprenditorialità,ND,ND
Consorzio JobsFactory,ND,ND
Machine Learning Reply,Machine Learning Reply S.r.l.,"Via Castellanza, 11 - 20151 Milano"
Engineering Group,ND,ND
Incrementum Factory,ND,ND
CISINT - Centro Italiano di Strategia e Intelligence,ND,ND
Puccioni 1888,ND,ND
Business Enterprise,ND,ND
ChIR - MSc in Chemical Innovation & Regulation,ND,ND
Fairness 4 ,ND,ND
Orienta VSP,ND,ND
BFF TechLab,ND,ND
Fondazione Mps,ND,ND
ETRUSCO  HOTEL S.R.L. IN LIQUIDAZIONE,ND,ND
TEA Group Srl,ND,ND
SILOG Sistemi Logici,ND,ND
Addax Biosciences,ND,ND
BFF Banking Group,ND,ND
TXT Risk Solutions srl,ND,ND
DELISA S.R.L.,ND,ND
Università degli Studi di Siena,ND,ND
Nuvolaris Inc,ND,ND
St Joseph's Catholic Church Aldershot,ND,ND
Dipartimento di Ingegneria dell'Informazione e Scienze Matematiche - Università di Siena,ND,ND
Allianz Italia,ND,ND
Galenica Senese S.r.l. Industria Farmaceutica,ND,ND
eCure.it © - Digital Home Care Network ,ND,ND
Juniper Networks,ND,ND
Ericsson c/o JT ( Jearsy Island),ND,ND
Engineering Ingegneria Informatica SPA,ND,ND
Enterprime srl,ND,ND
Rotech Srl,ND,ND
S3K | Security of the Third Millennium,ND,ND
Engage SpA,ND,ND
OPEN FINANCE,ND,ND
University of Cambridge,ND,ND
Travel Advantage,ND,ND
Università di Siena,ND,ND
MediGenium SRL,ND,ND
MUNICIPIA SPA,ND,ND
Kronos Advice,ND,ND
Soresina Simone,ND,ND
Intesa Sanpaolo,ND,ND
Laheq Halak,ND,ND
AirQino - Tea Group s.r.l.,ND,ND
Consulthink S.p.A.,ND,ND
Metodo Belli,ND,ND
IMPact SGR,ND,ND
Talent Garden,ND,ND
EERA - The European Energy Research Alliance,ND,ND
BotCity (YC W22),ND,ND
Eight Versa,ND,ND
Banca di Credito Popolare,ND,ND
Santa Chiara Next,ND,ND
Sidereus Space Dynamics,ND,ND
ReActive | Gruppo AlmavivA,ND,ND
Ipse Docet Srl,ND,ND
Terranova Software,ND,ND
Global Legal Entity Identifier Foundation (GLEIF),ND,ND
BCC Sinergia,ND,ND
Western Union,ND,ND
Equixly | API Security,ND,ND
TALENCE SrL / CREMETE SrL,ND,ND
UniCredit Services,ND,ND
Humanativa Group SpA,ND,ND
IGF Italia,ND,ND
Union IT,ND,ND
Engineering Ingegneria Informatica S.p.a.,ND,ND
Engineering D.HUB,ND,ND
Maticmind S.p.A.,ND,ND
Engineering Brasil,ND,ND
FRIGEL S.p.A.,ND,ND
Pegaso 2000,ND,ND
Fast Innovation SRL,ND,ND
NTT DATA Italia,ND,ND
Vanderbilt University,ND,ND
"Cnr-IBIMET, National Research Council Institute of Biometeorology",ND,ND
Capgemini Engineering,ND,ND
X View,ND,ND
Horsa Group,ND,ND
Engineering Ingegneria Informatica,ND,ND
VASS BENELUX,ND,ND
DXC Technology,ND,ND
Gruppo Acinque,ND,ND
Ca' Foscari University of Venice,ND,ND
Starcloud Srl,ND,ND
Municipia Spa -  Gruppo Engineering Ingegneria Informatica Spa,ND,ND
PL3 & Partners,ND,ND
Banca Ifis,ND,ND
Nexen SpA,ND,ND
FinSenas Srl ,ND,ND
Augeos S.p.A.,ND,ND
MSDSystems srl,ND,ND
Euronext Securities,ND,ND
Presidenza del Consiglio dei Ministri,ND,ND
BFF Bank SPA,ND,ND
Fondazione per la Sostenibilità Digitale,ND,ND
Elite Division - A DIGITAL360 Company,ND,ND
Marzia Pieri & Associati S.r.l.,ND,ND
Sielte S.p.A.,ND,ND
Centro Studi Turistici,ND,ND
Startup Geeks,ND,ND
Santa Chiara Lab - Università di Siena,ND,ND
"Gruppo SCAI, Consulenza Aziendale Informatica",ND,ND
KRUK S.A.,ND,ND
Kleros s.r.l.,ND,ND
Host Consult Executive Recruitment and Talent Agency,ND,ND
Autostrade per l'Italia,ND,ND
EIRMA AISBL,ND,ND
LUISS Guido Carli,ND,ND
autolinee toscane,ND,ND
InterEx Group,ND,ND
Try Mito,ND,ND
BFF Polska S.A.,ND,ND
GeaCon Srl,ND,ND
TOM - The Outsourcing Management S.r.l.,ND,ND
Marc Jacobs,ND,ND
Paolo Laquidara srl,ND,ND
Informatec Ltd.liab.Co.,ND,ND
"Intesa, a Kyndryl Company",ND,ND
First Cisl,ND,ND
Italian Tech ,ND,ND
Self Employed,ND,ND
Hybris Corporate Finance,ND,ND
Mediterranea Spa,ND,ND
Marketing Connector,ND,ND
Truspace Design & Construction Firm,ND,ND
CONSORZIO OPERATIVO GRUPPO MONTEPASCHI,ND,ND
Valex SpA,ND,ND
Servizi e Consulenze bat,ND,ND
Mind [over] Money,ND,ND
Malaysia Retail Chain Association (MRCA),ND,ND
Università di Pisa,ND,ND
"Sbarro Institute for Cancer Research & Molecular Medicine, Center of Biotechnology Temple University",ND,ND
ABB E-mobility,ND,ND
Ospedale Policlinico di Milano,ND,ND
Orascom Development,ND,ND
TXT GROUP,ND,ND
Banca IFIS S.p.A.,ND,ND
Fondazione Vita,ND,ND
GFT Technologies,ND,ND
BCR Publishing,ND,ND
Time to Mind SA | AG | Ltd,ND,ND
TXT E-TECH,ND,ND
Q8 Kuwait Petroleum Italia S.p.A.,ND,ND
Lungarno Studio,ND,ND
Boston Consulting Group (BCG),ND,ND
Generali Italia S.p.A.,ND,ND
Zurich Insurance,ND,ND
SEALENCE S.P.A. - S.B.,ND,ND
Property Connector,ND,ND
Agile Education by Scrum Inc.™,ND,ND
Deda Next s.r.l.,ND,ND
Transmit Security,ND,ND
Accenture Italia,ND,ND
Spaeth Consult GmbH,ND,ND
Studio odontoiatrico vitale,ND,ND
NEW WORK SE,ND,ND
Nuova Farina Trasporti Srl,ND,ND
Plug and Play Tech Center,ND,ND
AML HQ,ND,ND
AlmavivA S.p.A.,ND,ND
Brain Management,ND,ND
Forgia Labs,ND,ND
indigo.ai ❊ l'AI che fa parlare,ND,ND
C3 AI,ND,ND
Confindustria Brescia,ND,ND
Forvis Mazars Group,ND,ND
Venicecom Srl,ND,ND
CAST ITALIA ,ND,ND
Amazon Web Services (AWS),ND,ND
Project:IN Avvocati,ND,ND
Elip Tagliente Srl,ND,ND
BNP Paribas,ND,ND
Teledyne LeCroy,ND,ND
MR CORPORATE,ND,ND
Nomadic Minds,ND,ND
100 Shapes,ND,ND
"Sistemi Informativi, an IBM Company",ND,ND
in valutazione,ND,ND
SAIHub Siena Artificial Intelligence Hub,ND,ND
European Payments Stakeholders Group (EPSG),ND,ND
Engineering Tributi SPA,ND,ND
UNINETTUNO - International Telematic University,ND,ND
Hive Tech Scarl,ND,ND
Emilia Bruzzone,ND,ND
RIMOR CORP,ND,ND
Extra Red,ND,ND
Lion Heart Global,ND,ND
CS-Consulting GmbH,ND,ND
ICE Data Services,ND,ND
Deus Technology,ND,ND
CIDA Confederazione Italiana Dirigenti e Alte Professionalità,ND,ND
EPSA Italy,ND,ND
Leotta Motors,ND,ND
Centrico Selir,ND,ND
Giuffrè Francis Lefebvre,ND,ND
"Appointments Bi-Language - Page no longer in use, follow ABL Recruitment (link below)",ND,ND
Soul Srl,ND,ND
Libero professionista,ND,ND
مجموعة البرق التجارية لبيع وشراء العقارات والسيارات والأراضي في سورية ,ND,ND
Trendrating SA ,ND,ND
University of Siena,ND,ND
DBridge srl,ND,ND
INGRANDI GIOVANNI,ND,ND
Coop OASI,ND,ND
The Coca-Cola Company,ND,ND
Acqua Pubblica Sabina,ND,ND
Hermes Consulting,ND,ND
GOULD G.N. Sistemi,ND,ND
Engineering SpA,ND,ND
Socialite Connections,ND,ND
RMA Advisory,ND,ND
SIPI Forniture,ND,ND
Studio Legale Capoccia&Partners ,ND,ND
Super Fast Python,ND,ND
European Central Bank,ND,ND
ITA Angelo Vegni- Capezzine,ND,ND
Dedagroup Stealth spa,ND,ND
Poste Italiane,ND,ND
Hibachi Holdings Ltd,ND,ND
TXT Novigo,ND,ND
ATLANTICA DIGITAL SPA,ND,ND
Digital Club / Cyber - Una community per Fare Sistema,ND,ND
Punto Net Formazione,ND,ND
Università degli Studi di Padova,ND,ND
"Globe Life, LND - The Terah Mims Agency ",ND,ND
JD Advisors Ireland,ND,ND
Prometeo Srl,ND,ND
Bridge IDT,ND,ND
Liquid C2 MENA,ND,ND
CDP Cassa Depositi e Prestiti,ND,ND
Allcore spa,ND,ND
Al Maryah Community Bank,ND,ND
AES Communication,ND,ND
"JBS International, Inc.",ND,ND
MEDIO CREDITO ITALIANO S.P.A.,ND,ND
Edgewood College,ND,ND
Napier AI,ND,ND
Fideuram - Intesa Sanpaolo Private Banking,ND,ND
Nahrin Swisscare,ND,ND
Bank CIC |Switzerland|,ND,ND
Associazione Italiana per l'Intelligenza Artificiale,ND,ND
Valuecube S.r.l. Financial Engineering,ND,ND
Engineering Ingegneria Informatica spa,ND,ND
Digitronica Solution S.r.l.,ND,ND
Volvo Group,ND,ND
AUTOEUROPA S.R.L.,ND,ND
Mindwork - Wellbeing in progress,ND,ND
Diakont SRL,ND,ND
Clean Energy,ND,ND
Digital Compliance Expert & Advisor & Trainer-Libero professionista titolare dello Studio F. Lupone,ND,ND
ANIMA Holding,ND,ND
ATS S.p.A. - Advanced Technology Solutions,ND,ND
Agevola Impresa & Finanza,ND,ND
Gruppo Itway,ND,ND
VINCI Construction Grands Projets,ND,ND
DigitalPlatforms S.p.a,ND,ND
Synnejysk IT,ND,ND
Grupo Positivo,ND,ND
Queensland Government,ND,ND
CONSOB - Commissione Nazionale per le Società e la Borsa,ND,ND
Rochester Institute of Technology,ND,ND
PRAXI Alliance Worldwide Executive Search,ND,ND
Bloqhouse Technologies,ND,ND
Banca Sella Holding S.p.A.,ND,ND
Formez PA,ND,ND
ABI Lab,ND,ND
PagoPA S.p.A.,ND,ND
Allianz Bank Financial Advisors,ND,ND
Galileo Network SpA,ND,ND
Numero Blu Servizi S.p.A.,ND,ND
Mexican American Chamber of Commerce Florida,ND,ND
Rhubbit S.r.l.,ND,ND
Liu Jo ,ND,ND
INWIT S.p.A.,ND,ND
BMW Group,ND,ND
Lavoratore autonomo,ND,ND
IIS CASELLI,ND,ND
Mediobanca Innovation Services S.C.p.A,ND,ND
European Parliament,ND,ND
ENGIE Italia,ND,ND
Estra S.p.A.,ND,ND
The Bloor Group,ND,ND
FieldBee by eFarmer,ND,ND
BCC Banca Iccrea,ND,ND
AlmavivA de Belgique,ND,ND
ANOLF Marche,ND,ND
Chianti Restorations s.r.l. - LUXURY PROPERTY RESTORATION COMPANY,ND,ND
Santa Chiara Next Srl Società Benefit,ND,ND
Banco Popolare,ND,ND
C&G Capital,ND,ND
Azienda ospedsliera universitaria senese,ND,ND
Take&Care spa,ND,ND
me stesso - myself,ND,ND
Reale Mutua Assicurazioni,ND,ND
Energy Total Capital,ND,ND
Agilidade Gestão de Pessoas e Soluções em RH.,ND,ND
Universidad de Piura,ND,ND
BancoPosta -  Poste Italiane,ND,ND
E-project srl,ND,ND
PLASTINORTE S/A – Indústria Automotiva Autopeças Injeção Plástica – 2 Plantas – Governança Familiar ,ND,ND
Alpitour World,ND,ND
At myself,ND,ND
buildingSMART International,ND,ND
Epson Italia,ND,ND
C.P. Informatica s.r.l.,ND,ND
Financial Institution,ND,ND
Crédit Agricole CIB,ND,ND
Delisa Srl,ND,ND
Ulixe Nova,ND,ND
Programs & Projects Consulting,ND,ND
Multiplanning S.r.l.,ND,ND
Iccrea Banca S.p.A.,ND,ND
Join Business Management Consulting,ND,ND
IVM Chemicals,ND,ND
ANIMA Sgr,ND,ND
Istella SpA,ND,ND
Centro Congressi Frentani,ND,ND
Banco Desio,ND,ND
Dedalus S.p.A.,ND,ND
Adism Associazione Difesa Infortunati Stradali - Responsabile Regione Puglia,ND,ND
ImpreseItalia | Rete di Imprese,ND,ND
Federazione Italiana Nuoto,ND,ND
TAS Group,ND,ND
Pellegrino artusi,ND,ND
Privatassistenza Roma Prati,ND,ND
Dacomat Srl,ND,ND
NATO Communications and Information Agency (NCI Agency),ND,ND
Promofer S.r.l.,ND,ND
Istituto C. Leonardo Da Vinci,ND,ND
Humanitas Istituto Clinico Catanese,ND,ND
Azienda Universitaria Senese - U.O.C. Neuropsichiatria Infantile,ND,ND
OSM HOTELLERIE SICILIA,ND,ND
Experis Italia,ND,ND
Banca del Fucino,ND,ND
Cellularline Group,ND,ND
I.I.S. Caselli,ND,ND
Bologna Business School,ND,ND
Azienda privata,ND,ND
Edison SpA,ND,ND
Engineering D•HUB S.p.A.  ,ND,ND
"ChangeWise, Inc.",ND,ND
LIUC Business School,ND,ND
NETWORK CONTACTS SRL,ND,ND
UniCredit Allianz Vita - Gruppo Allianz,ND,ND
Università degli Studi di Brescia,ND,ND
Migra Software Evolution srl,ND,ND
Zero11 SRL,ND,ND
Innovate Your Job,ND,ND
Societe Generale Securities Services - SGSS,ND,ND
CASA DI CURA CARMONA,ND,ND
Forfinance Group,ND,ND
Banca SISTEMA,ND,ND
"Istituto di Alta Formazione Musicale ""R.Franci""",ND,ND
Monokee Srl,ND,ND
GRUPPO TRADE srl,ND,ND
Intellera Consulting,ND,ND
Protiviti Italia,ND,ND
BV TECH Group,ND,ND
ISA Digital Consulting,ND,ND
DGS S.p.A.,ND,ND
MG Consulting S.r.l.,ND,ND
BETA CAE Systems,ND,ND
FIBONACCI GROUP,ND,ND
BlueUp Srl,ND,ND
Cyber Guru,ND,ND
era informatica,ND,ND
BCC Roma,ND,ND
"EOS srl, Planetica srl ",ND,ND
IIS Colombo,ND,ND
EngO S.p.A.,ND,ND
Findomestic Banca,ND,ND
Commerciale P.A.,ND,ND
ENGAGE SPA,ND,ND
Fondazione Iside e Cesare Lavezzari,ND,ND
thema Consulting,ND,ND
RETAIL ITALIA srl,ND,ND
TrenDevice S.p.A.,ND,ND
Axon Financial Systems,ND,ND
phoops s.r.l.,ND,ND
EasyWay Technology srl,ND,ND
EMDR Institute Inc,ND,ND
INTEGRA Srl,ND,ND
Ma-estro SRL,ND,ND
On-Site Case Management,ND,ND
Catholic University of Milano,ND,ND
"Comediterraneo, socio Conad",ND,ND
Telos Management Consulting,ND,ND
Creative Consulting and Training Ltd,ND,ND
OSM Value Srl,ND,ND
Centopercento Camicie Siena,ND,ND
Expert professional,ND,ND
LEDIT S.R.L.,ND,ND
Engineering Ingegneria Informatica S.p.A.,ND,ND
Intesa Sanpaolo Assicurazioni,ND,ND
Mediatica Digital SpA,ND,ND
Engineering Interactive,ND,ND
Studio Perugini Srl,ND,ND
Siena Eye Laser,ND,ND
DML - Digital Marketing Lab Srl,ND,ND
"University of Rome ""La Sapienza""",ND,ND
CNP Vita Assicura,ND,ND
CRIF Ratings,ND,ND
Affidaty S.p.A.,ND,ND
Lia Malhi Art Interior Design,ND,ND
Business & Management Consulting Services,ND,ND
Banco BPM,ND,ND
Montalese spa,ND,ND
Vari fondi di investimento,ND,ND
Istituto Universitario Sophia,ND,ND
Visidron | Financial Top View,ND,ND
Lavoratore Autonomo,ND,ND
Channel Factory,ND,ND
Rai - Radiotelevisione Italiana,ND,ND
QNB Group,ND,ND
Azienda Asl,ND,ND
Confesercenti impresa srl,ND,ND
9WAYS S.R.L.,ND,ND
Università degli Studi di Udine,ND,ND
Italian Welfare,ND,ND
Betacom s.r.l.,ND,ND
PwC Italy,ND,ND
SECO spa,ND,ND
Bank Millennium,ND,ND
EGG Finance,ND,ND
Sviluppo Lavoro Italia,ND,ND
24ORE Business School,ND,ND
Centria srl,ND,ND
Serco Italia S.p.A.,ND,ND
Elkjøp Nordic AS (part of Currys plc),ND,ND
"North Rock Capital Management, LLC",ND,ND
CFA UK,ND,ND
Datasynthesis Inc,ND,ND
HSBC Global Banking and Markets,ND,ND
CVT Centro Vendite Tecnologiche,ND,ND
Axiante srl,ND,ND
IKEA Supply AG,ND,ND
Insurance Lab - Formazione Assicurativa,ND,ND
Distretto Tecnologico Sicilia Micro e Nano Sistemi S.c.a.r.l.,ND,ND
Apex srls,ND,ND
future consulting,ND,ND
SIGERICO SpA,ND,ND
University of Malta,ND,ND
Societe Generale Securities Services SPA,ND,ND
Assigenia AXA spa,ND,ND
GEB Software,ND,ND
KONNETWORK LTD,ND,ND
Be | Shaping the Future,ND,ND
Winch Energy Ltd,ND,ND
Compagnia Tecnica Motori spa,ND,ND
Engineering Ing. Informatica S.P.A.,ND,ND
TeamSystem Construction,ND,ND
RA Computer S.p.A.,ND,ND
Barbera 1870 SpA - Caffé Barbera,ND,ND
banca monte de' paschi di siena,ND,ND
Guidewire Software,ND,ND
Tecne - Gruppo Autostrade per l'Italia,ND,ND
Sclavo Diagnostics,ND,ND
Wolters Kluwer Italia,ND,ND
Scuola secondaria di secondo grado,ND,ND
NTT Data Italia Gov & Tech,ND,ND
Gruppo ESTRA,ND,ND
Me stesso,ND,ND
Power Capital srl,ND,ND
BNL BNP Paribas,ND,ND
Università Cattolica,ND,ND
Fineco Bank,ND,ND
consorzio conesi-conserit,ND,ND
ESTAR Toscana,ND,ND
Moody's Analytics,ND,ND
UnipolSai Assicurazioni Spa,ND,ND
GFT Italia,ND,ND
UCL School of Management,ND,ND
ITS Energia e Ambiente,ND,ND
Deloitte Central Europe,ND,ND
estav - sud est,ND,ND
Banca Intesa,ND,ND
Red Bull,ND,ND
Club degli Orafi Italia,ND,ND
NORTHFIELD ELEMENTARY SCHOOL PTO,ND,ND
Galatea Bio Tech Srl,ND,ND
UBS Investment Bank,ND,ND
Limina Financial Systems,ND,ND
Baldini & Partners,ND,ND
China Bank PH,ND,ND
Boldyn Networks,ND,ND
KRONOS ADVICE S.r.l.,ND,ND
Libero Professionista Consulente Aziendale,ND,ND
Tonali Energia Ambiente,ND,ND
Self employed,ND,ND
BNL Gruppo BNP Paribas,ND,ND
ministero pubblica istruzione,ND,ND
Fuckup Nights Florence,ND,ND
LASCAUX srl,ND,ND
Lisp Engineering srl,ND,ND
Transition Technologies MS,ND,ND
Enegan - Luce e Gas,ND,ND
Organization's Genetics,ND,ND
Generali Italia,ND,ND
Sia Partners,ND,ND
Aruba S.p.A.,ND,ND
Quad Solutions Ltd,ND,ND
Origins Capital GmbH,ND,ND
Black Dragon Capital,ND,ND
Trend s.p.a.,ND,ND
Lynx S.p.A.,ND,ND
PLAY Consulting s.r.l.,ND,ND
S&P Global Market Intelligence,ND,ND
Business France (Export),ND,ND
Your Digital,ND,ND
Schindler Italia,ND,ND
Intesa Sanpaolo Private Banking,ND,ND
Amiata Suite,ND,ND
Studio legale Arrigo,ND,ND
Enel X,ND,ND
Wells Fargo,ND,ND
Banca Profilo,ND,ND
Hitachi Energy,ND,ND
Gruppo Ospedaliero San Donato,ND,ND
BNP Paribas Securities Services,ND,ND
VM rifiniture d'interni,ND,ND
John Gilbert,ND,ND
Base Digitale Experience,ND,ND
Unicredit Global Information Services,ND,ND
IDS & UNITELM S.R.L.,ND,ND
Société Générale,ND,ND
Gruppo Assicurativo Poste Vita,ND,ND
Digit Fintech,ND,ND
attualmente in cerca di lavoro,ND,ND
Private Labs,ND,ND
FIV (italian sail federation),ND,ND
Anima SGR,ND,ND
Deloitte Consulting,ND,ND
IBL Banca - Istituto Bancario del Lavoro,ND,ND
Servizi Finanziari,ND,ND
Deloitte Risk Advisory,ND,ND
Nexen S.P.A.,ND,ND
Pragma Etimos S.r.l.,ND,ND
Compass Banca S.p.A. - Gruppo Mediobanca,ND,ND
AcomeA Sgr,ND,ND
Sumitomo Mitsui Banking Corporation,ND,ND
Zick Learn,ND,ND
Societe Generale,ND,ND
Banca Sella,ND,ND
OPTEAMUM Associates (Global) Ltd,ND,ND
MPS Finance,ND,ND
Omnis Cloud,ND,ND
Intesasanpaolo Group Services,ND,ND
ACG New York,ND,ND
The Data Governance Institute (DGI),ND,ND
Crédit Agricole Italia,ND,ND
University of Messina,ND,ND
NCC-NEW CONCEPT OF CONSULTING,ND,ND
Myself me medesimo,ND,ND
Deutsche Bank Italia,ND,ND
LSEG (London Stock Exchange Group),ND,ND
Best Solutions S.r.l.,ND,ND
Fidelity Investments,ND,ND
Azimut Italia,ND,ND
Deutsche Bank,ND,ND
Etica Sgr,ND,ND
The Lending Practice ,ND,ND
Engineering Ingegneria Informatica SpA,ND,ND
SaM Solutions,ND,ND
Barclays Investment Bank,ND,ND
Rete Ferroviaria Italiana,ND,ND
MANDARIN s.p.a.,ND,ND
Antaes Consulting,ND,ND
Open Bank Project,ND,ND
Societe Generale Securities Services SpA,ND,ND
Azienda Ospedaliero-universitaria Senese,ND,ND
Replica Markets,ND,ND
Hewlett Packard,ND,ND
RiskFree SAS,ND,ND
Salt River Pima-Maricopa Indian Community,ND,ND
GOSP - Generali Operations Service Platform ,ND,ND
Thema Consulting SA,ND,ND
PKO Bank Polski,ND,ND
Sinthera - WeAreProject,ND,ND
Kuros Associates,ND,ND
HP Enterprise Services,ND,ND
Libero Professionista,ND,ND
Arcoda srl,ND,ND
HerreveldvandenHurk & Partners,ND,ND
Sunshine Acres Children's Home,ND,ND
GRENKE BANK AG - Branch Italy,ND,ND
PwC Business Services Italy,ND,ND
CDI Manager Srl,ND,ND
Interactive Data,ND,ND
Groupe TRADUTEC,ND,ND
Xida Ltd,ND,ND
Credem Euromobiliare Private Banking,ND,ND
Banca Generali,ND,ND
EDM Council,ND,ND
MONTE PASCHI ASSET MANAGEMENT SGR SPA,ND,ND
Xida Communications,ND,ND
Applied Research Solutions,ND,ND
me stesso,ND,ND
Adepa Global Services S.A.,ND,ND
Banca Widiba,ND,ND
Subaru of America,ND,ND
Telematic Srl,ND,ND
R-Store S.p.A. | Apple Premium Partner,ND,ND
Consiglio Nazionale delle Ricerche,ND,ND
HiSolution Srl,ND,ND
PwC Switzerland,ND,ND
UNIFI Snap4City,ND,ND
RE-Dev6 S.p.A.,ND,ND
b2commerce s.r.l.,ND,ND
Hewlett Packard Enterprise,ND,ND
Quality Group Viaggi,ND,ND
Cassa di Risparmio di Orvieto,ND,ND
PRIMA sgr,ND,ND
FIDIA- ADIA Nord Est. Federazione Italiana Dirigenti Assicurativi,ND,ND
Crypt Security Srl,ND,ND
Avara Pharmaceutical Services,ND,ND
Cabel Industry,ND,ND
SKY Italia,ND,ND
Consorzio Operativo Gruppo MPS,ND,ND
Banca Aletti,ND,ND
Consip SpA,ND,ND
Politecnico di Milano,ND,ND
SEBM srl,ND,ND
Filidon Consulting Srls,ND,ND
Sparkasse · Cassa di Risparmio di Bolzano,ND,ND
STM Ingegneria,ND,ND
